Capa,Media,Mín,Máx,Desv_Est
NDVI,0.46115705,0.3409182,0.6937818,0.09083088
NDWI,-0.49312937,-0.6156119,-0.42393047,0.043485977
SAVI,0.28955355,0.2274559,0.4058966,0.041142423
BSI,0.13651942,-0.07561989,0.23472461,0.075536795
YIELD,6148.7603,4545.576,9250.424,1211.0785
WATER_BALANCE,655.0514,654.6803,655.2433,0.14491066
PRECIPITATION,663.76416,663.76404,663.76404,0.00012207031
TEMPERATURE,28.442778,28.442774,28.442774,3.8146973e-06
ELEVATION,298.10526,295.0,300.0,1.3851875
SLOPE,2.4327652,0.0,4.1821136,1.0846769
ZONES,2.5150115,0.0,4.0,1.1065128
CSI,-0.9272118,-1.200741,-0.76823145,0.10109558
